,code,toc_name
0,WR,West Coast Railway Co
1,LD,Lumo
2,ZZ,Unknown
3,GX,Gatwick Express
4,PC,Private Charter
5,IL,Island Line
6,VT,Avanti West Coast
7,SE,Southeastern
8,ZM,West Somerset Railway
9,NT,Northern
10,HT,Hull Trains
11,GW,Great Western Railway
12,GC,Grand Central
13,TP,TransPennine Express
14,ZB,Bus Station
15,ES,Eurostar
16,HC,Heathrow Connect
17,RT,Network Rail
18,CS,Caledonian Sleeper
19,XR,TFL Rail
20,SW,South Western Railway
21,SR,ScotRail
22,TL,Thameslink
23,TW,Tyne and Wear Metro
24,LO,London Overground
25,AW,Transport for Wales
26,LT,London Underground
27,LM,West Midlands Trains
28,ZF,Ferry Terminal
29,LE,Greater Anglia
30,XC,CrossCountry
31,SN,Southern
32,GN,Great Northern
33,CH,Chiltern Railways
34,HX,Heathrow Express
35,SJ,Sheffield Supertram
36,EM,East Midlands Railway
37,GR,London North Eastern Railway
38,NY,North Yorkshire Moors Railway
39,ME,Merseyrail
40,CC,c2c
